OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
414,CINCINNATI,CINCINNATI,RM-0.7,
415,CINCINNATI,CINCINNATI,PD,
437,CINCINNATI,CINCINNATI,PR,
438,CINCINNATI,CINCINNATI,MG,
439,CINCINNATI,CINCINNATI,SF-10,
440,CINCINNATI,CINCINNATI,RMX,
441,CINCINNATI,CINCINNATI,CC-M,
442,CINCINNATI,CINCINNATI,SF-2,
443,CINCINNATI,CINCINNATI,RF-R,
444,CINCINNATI,CINCINNATI,SF-2,
445,CINCINNATI,CINCINNATI,RM-1.2,
446,CINCINNATI,CINCINNATI,SF-6,
447,CINCINNATI,CINCINNATI,PR,
425,CINCINNATI,CINCINNATI,CC-P,
426,CINCINNATI,CINCINNATI,RMX,
427,CINCINNATI,CINCINNATI,PR,
428,CINCINNATI,CINCINNATI,SF-6,
429,CINCINNATI,CINCINNATI,CN-M,
430,CINCINNATI,CINCINNATI,PR,
431,CINCINNATI,CINCINNATI,CN-P,
432,CINCINNATI,CINCINNATI,SF-6,
433,CINCINNATI,CINCINNATI,PR,
434,CINCINNATI,CINCINNATI,OL,
435,CINCINNATI,CINCINNATI,RM-2.0,
436,CINCINNATI,CINCINNATI,OL,
467,CINCINNATI,CINCINNATI,SF-6,
468,CINCINNATI,CINCINNATI,CN-P,
469,CINCINNATI,CINCINNATI,CC-A,
470,CINCINNATI,CINCINNATI,CG-A,
471,CINCINNATI,CINCINNATI,SF-20,
472,CINCINNATI,CINCINNATI,CC-M,
473,CINCINNATI,CINCINNATI,SF-6,
474,CINCINNATI,CINCINNATI,RM-2.0,
475,CINCINNATI,CINCINNATI,CC-M,
476,CINCINNATI,CINCINNATI,CC-A,
477,CINCINNATI,CINCINNATI,ME,
478,CINCINNATI,CINCINNATI,PR,
448,CINCINNATI,CINCINNATI,RMX,
449,CINCINNATI,CINCINNATI,CN-M,
450,CINCINNATI,CINCINNATI,RM-2.0,
451,CINCINNATI,CINCINNATI,SF-4,
452,CINCINNATI,CINCINNATI,RM-2.0,
453,CINCINNATI,CINCINNATI,OG,
454,CINCINNATI,CINCINNATI,RM-0.7,
455,CINCINNATI,CINCINNATI,CC-M,
456,CINCINNATI,CINCINNATI,IR,
457,CINCINNATI,CINCINNATI,RM-2.0,
458,CINCINNATI,CINCINNATI,RM-1.2,
459,CINCINNATI,CINCINNATI,RM-2.0,
460,CINCINNATI,CINCINNATI,ML,
461,CINCINNATI,CINCINNATI,SF-6,
462,CINCINNATI,CINCINNATI,RM-1.2,
463,CINCINNATI,CINCINNATI,RM-1.2,
464,CINCINNATI,CINCINNATI,PR,
465,CINCINNATI,CINCINNATI,PR,
466,CINCINNATI,CINCINNATI,OG,
494,CINCINNATI,CINCINNATI,RM-1.2,
495,CINCINNATI,CINCINNATI,RM-1.2,
496,CINCINNATI,CINCINNATI,PR,
497,CINCINNATI,CINCINNATI,RM-1.2,
498,CINCINNATI,CINCINNATI,SF-4,
499,CINCINNATI,CINCINNATI,PR,
500,CINCINNATI,CINCINNATI,RM-2.0,
501,CINCINNATI,CINCINNATI,SF-2,
502,CINCINNATI,CINCINNATI,SF-20,
503,CINCINNATI,CINCINNATI,RF-M,
504,CINCINNATI,CINCINNATI,CC-A,
505,CINCINNATI,CINCINNATI,RM-1.2,
506,CINCINNATI,CINCINNATI,PR,
507,CINCINNATI,CINCINNATI,T5MS,
508,CINCINNATI,CINCINNATI,T5MS-O,
509,CINCINNATI,CINCINNATI,T3N,
510,CINCINNATI,CINCINNATI,T4N.MF,
479,CINCINNATI,CINCINNATI,RMX,
480,CINCINNATI,CINCINNATI,RM-2.0,
481,CINCINNATI,CINCINNATI,T3E,
482,CINCINNATI,CINCINNATI,T4N.MF-O,
483,CINCINNATI,CINCINNATI,T5N.LS,
484,CINCINNATI,CINCINNATI,RM-2.0,
485,CINCINNATI,CINCINNATI,SF-10,
486,CINCINNATI,CINCINNATI,RF-R,
487,CINCINNATI,CINCINNATI,PR,
488,CINCINNATI,CINCINNATI,PR,
489,CINCINNATI,CINCINNATI,SF-10,
490,CINCINNATI,CINCINNATI,RMX,
491,CINCINNATI,CINCINNATI,PR,
492,CINCINNATI,CINCINNATI,RM-2.0,
493,CINCINNATI,CINCINNATI,CC-M,
777,CINCINNATI,CINCINNATI,PR,
778,CINCINNATI,CINCINNATI,PR,
779,CINCINNATI,CINCINNATI,SF-2,
780,CINCINNATI,CINCINNATI,MG,
781,CINCINNATI,CINCINNATI,SF-4,
782,CINCINNATI,CINCINNATI,PR,
783,CINCINNATI,CINCINNATI,PR,
784,CINCINNATI,CINCINNATI,CN-M,
785,CINCINNATI,CINCINNATI,PR,
786,CINCINNATI,CINCINNATI,RM-0.7,
787,CINCINNATI,CINCINNATI,RM-1.2,
788,CINCINNATI,CINCINNATI,SF-2,
789,CINCINNATI,CINCINNATI,RM-1.2,
903,CINCINNATI,CINCINNATI,RM-0.7,
904,CINCINNATI,CINCINNATI,RM-0.7,
905,CINCINNATI,CINCINNATI,RM-0.7,
906,CINCINNATI,CINCINNATI,RM-0.7,
907,CINCINNATI,CINCINNATI,RM-0.7,
908,CINCINNATI,CINCINNATI,SF-4,
909,CINCINNATI,CINCINNATI,RM-2.0,
910,CINCINNATI,CINCINNATI,CC-A,
911,CINCINNATI,CINCINNATI,CC-A,
912,CINCINNATI,CINCINNATI,ML,
913,CINCINNATI,CINCINNATI,RMX,
520,CINCINNATI,CINCINNATI,RMX,
521,CINCINNATI,CINCINNATI,PR,
522,CINCINNATI,CINCINNATI,RMX,
523,CINCINNATI,CINCINNATI,CC-A,
524,CINCINNATI,CINCINNATI,SF-4,
525,CINCINNATI,CINCINNATI,CC-M,
526,CINCINNATI,CINCINNATI,PR,
527,CINCINNATI,CINCINNATI,RMX,
528,CINCINNATI,CINCINNATI,PR,
529,CINCINNATI,CINCINNATI,SF-6,
530,CINCINNATI,CINCINNATI,RM-0.7,
646,CINCINNATI,CINCINNATI,RM-2.0,
647,CINCINNATI,CINCINNATI,RM-1.2,
648,CINCINNATI,CINCINNATI,CC-M,
