"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
330042,39.1434596922079,-84.4421242452268,0,0,7,2,1,1,0,0,3,1,0,2,8,0,0,0,2,11,0,12,64
330043,39.1457096935867,-84.4421242452177,0,0,2,0,4,0,0,0,3,0,0,4,0,0,3,0,0,3,0,13,39
330044,39.147959694965,-84.4421242452086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
330058,39.1794597142064,-84.4421242450819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
340036,39.1299615591278,-84.444383455914,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
340039,39.1367115633639,-84.4443834558869,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
340042,39.1434615675952,-84.4443834558598,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,5
350032,39.120963384947,-84.446642666702,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
350042,39.1434633993688,-84.4466426666118,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,2,0,0,4,8
360034,39.1254651757625,-84.4489018775519,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
360039,39.1367151831207,-84.448901877507,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12
370039,39.1367169275819,-84.4511610884884,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,3,1,1,8
370043,39.1457169335721,-84.4511610884527,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3
380033,39.1232186192628,-84.4534202996338,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2
380040,39.1389686299577,-84.4534202995715,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
380070,39.2064686754727,-84.4534202993047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
390041,39.1412202887755,-84.4556795107625,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2
390042,39.1434702903275,-84.4556795107537,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
390063,39.1907203227828,-84.4556795105683,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3
400034,39.1254718913905,-84.4579387221286,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,5
400042,39.1434719040332,-84.4579387220586,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,3
400043,39.1457219056108,-84.4579387220499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
410037,39.1322234661001,-84.4601979335091,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3
410060,39.1839735028899,-84.4601979333097,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
420037,39.1322249924541,-84.4624571450151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
420074,39.2154750523954,-84.4624571446978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
430054,39.1704765032534,-84.4647163564737,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3
430067,39.1997265245855,-84.4647163563635,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2
440038,39.1344779160107,-84.4669755683055,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2
440043,39.1457279243952,-84.4669755682638,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
450038,39.1344793115572,-84.4692347800929,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2
450042,39.1434793183571,-84.46923478006,0,0,1,0,0,0,0,0,2,0,0,5,0,0,3,0,0,4,0,7,19
460042,39.1434806703809,-84.471493991936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
460070,39.2064807183047,-84.471493991709,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
470043,39.1457319805329,-84.4737532038894,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,4
470048,39.1569819892313,-84.4737532038496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,3
480037,39.1322332347665,-84.4760124159804,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
480039,39.136733238297,-84.4760124159648,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,2,4
480047,39.1547332523924,-84.4760124159022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3
