"cell_id","lat_cell","long_cell","sum_cost","num_events"
740022,39.0985007787692,-84.5347519489431,242.413,26
740023,39.1007507808332,-84.534751948941,550.855,62
740024,39.1030007828963,-84.5347519489389,513.673,61
740025,39.1052507849587,-84.5347519489368,457.303,49
740026,39.1075007870203,-84.5347519489347,336.573,41
740027,39.1097507890811,-84.5347519489326,214.041,26
740028,39.1120007911412,-84.5347519489305,124.597,16
740029,39.1142507932005,-84.5347519489284,446.118,47
740030,39.116500795259,-84.5347519489263,1720.67,197
740031,39.1187507973167,-84.5347519489242,3448.948,398
740032,39.1210007993736,-84.5347519489221,1694.714,205
740033,39.1232508014298,-84.53475194892,3985.904,448
740034,39.1255008034852,-84.5347519489179,3774.903,432
740035,39.1277508055398,-84.5347519489158,2311.931,258
740036,39.1300008075937,-84.5347519489137,697.114,86
740037,39.1322508096467,-84.5347519489116,469.237,54
740038,39.134500811699,-84.5347519489095,552.757,63
740039,39.1367508137505,-84.5347519489074,3289.78,360
740040,39.1390008158013,-84.5347519489053,3987.7,456
740041,39.1412508178512,-84.5347519489032,1616.882,173
740042,39.1435008199004,-84.5347519489011,1264.739,142
740043,39.1457508219488,-84.534751948899,244.174,26
740044,39.1480008239965,-84.5347519488969,70.878,8
740045,39.1502508260433,-84.5347519488948,424.942,48
740046,39.1525008280894,-84.5347519488927,905.422,109
740047,39.1547508301347,-84.5347519488906,105.536,15
740048,39.1570008321792,-84.5347519488886,744.152,82
740049,39.159250834223,-84.5347519488865,580.556,69
740050,39.161500836266,-84.5347519488844,450.834,52
740051,39.1637508383082,-84.5347519488822,178.012,23
740052,39.1660008403496,-84.5347519488802,71.677,8
740053,39.1682508423903,-84.5347519488781,10.082,1
740056,39.1750008485076,-84.5347519488718,50.714,6
740057,39.1772508505451,-84.5347519488697,20.468,3
740058,39.1795008525819,-84.5347519488676,10.082,1
740061,39.1862508586875,-84.5347519488613,20.164,2
740064,39.1930008647862,-84.534751948855,286.213,33
740065,39.1952508668175,-84.5347519488529,132.473,15
740066,39.197500868848,-84.5347519488508,252.354,26
740067,39.1997508708778,-84.5347519488487,103.634,14
740068,39.2020008729068,-84.5347519488466,336.623,38
740071,39.2087508789892,-84.5347519488403,20.164,2
740072,39.2110008810151,-84.5347519488382,60.492,6
740073,39.2132508830402,-84.5347519488361,101.923,11
740074,39.2155008850646,-84.534751948834,134.516,17
750022,39.0985008659679,-84.5370111621534,40.328,4
750023,39.1007508680333,-84.5370111621516,274.229,31
750024,39.1030008700979,-84.5370111621498,710.456,75
750025,39.1052508721617,-84.5370111621479,505.161,62
750026,39.1075008742247,-84.5370111621461,366.261,39
750027,39.109750876287,-84.5370111621443,349.66,44
750028,39.1120008783485,-84.5370111621424,184.29,22
750029,39.1142508804092,-84.5370111621406,374.441,39
750030,39.1165008824691,-84.5370111621388,379.765,46
750031,39.1187508845283,-84.5370111621369,942.858,114
750032,39.1210008865866,-84.5370111621351,779.573,83
750033,39.1232508886442,-84.5370111621333,1551.454,184
750034,39.125500890701,-84.5370111621314,1275.351,150
750035,39.1277508927571,-84.5370111621296,133.341,20
750036,39.1300008948124,-84.5370111621277,187.295,24
750037,39.1322508968669,-84.5370111621259,648.93,73
750038,39.1345008989206,-84.5370111621241,525.812,55
750039,39.1367509009735,-84.5370111621222,3708.931,400
750040,39.1390009030257,-84.5370111621204,957.889,107
750041,39.1412509050771,-84.5370111621186,401.831,49
750042,39.1435009071276,-84.5370111621167,1123.726,130
750043,39.1457509091775,-84.5370111621149,2053.122,226
750044,39.1480009112265,-84.537011162113,258.264,36
750045,39.1502509132748,-84.5370111621112,102.227,12
750046,39.1525009153223,-84.5370111621094,1431.039,170
750047,39.154750917369,-84.5370111621075,1592.687,181
750048,39.157000919415,-84.5370111621057,745.791,89
750049,39.1592509214602,-84.5370111621038,595.028,75
750050,39.1615009235045,-84.537011162102,374.745,40
750051,39.1637509255482,-84.5370111621002,319.464,38
750052,39.166000927591,-84.5370111620983,183.187,21
750053,39.1682509296331,-84.5370111620965,20.164,2
750056,39.1750009357546,-84.537011162091,91.346,11
750057,39.1772509377935,-84.5370111620891,10.386,2
750063,39.190750950011,-84.5370111620781,20.164,2
750064,39.1930009520445,-84.5370111620763,192.965,21
750065,39.1952509540772,-84.5370111620744,101.923,11
750066,39.1975009561092,-84.5370111620726,201.64,20
750067,39.1997509581404,-84.5370111620707,151.23,15
750068,39.2020009601708,-84.5370111620689,306.872,34
