"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
120051,39.1636602395017,-84.3946808543194,0,36,0,0,70,1,1,52,1,154,23,0,2,340
120052,39.1659102400734,-84.3946808543132,0,6,0,0,15,1,0,2,0,117,5,1,0,147
130015,39.0826630088145,-84.3969400620361,0,2,0,0,41,8,0,11,0,53,2,1,2,120
130016,39.0849130094399,-84.3969400620297,0,1,0,0,3,0,1,3,0,34,0,0,19,61
130017,39.0871630100651,-84.3969400620232,0,0,0,0,0,0,0,0,0,11,0,0,0,11
130018,39.08941301069,-84.3969400620168,0,1,0,0,10,0,1,2,0,21,0,0,0,35
130019,39.0916630113147,-84.3969400620104,0,3,0,0,13,5,1,3,1,48,4,0,0,78
130020,39.0939130119392,-84.396940062004,4,15,0,1,40,11,7,34,0,202,15,0,3,332
130021,39.0961630125634,-84.3969400619976,0,4,0,0,13,3,1,28,0,62,2,0,0,113
130024,39.1029130144347,-84.3969400619783,1,0,0,0,3,0,0,6,0,34,0,0,0,44
130045,39.1501630274746,-84.3969400618432,0,5,0,0,37,3,1,17,0,125,8,0,0,196
130046,39.152413028093,-84.3969400618367,2,30,0,0,64,2,5,11,0,208,38,1,0,361
130047,39.1546630287111,-84.3969400618303,2,10,1,0,44,2,0,20,0,125,4,1,0,209
130048,39.156913029329,-84.3969400618239,2,35,1,0,74,1,0,34,0,130,10,0,0,287
130049,39.1591630299467,-84.3969400618174,3,16,0,0,40,2,2,19,0,127,4,0,0,213
130050,39.1614130305641,-84.396940061811,14,25,1,0,99,3,0,45,3,141,5,0,1,337
130051,39.1636630311813,-84.3969400618046,1,16,0,0,73,3,0,49,1,168,14,1,0,326
130052,39.1659130317982,-84.3969400617981,0,3,0,0,27,0,0,24,0,152,6,2,0,214
140016,39.0849157559287,-84.3991992697025,0,0,0,0,0,0,0,1,0,0,0,0,0,1
140017,39.087165756599,-84.3991992696957,0,0,0,0,0,0,0,2,0,7,0,0,0,9
140018,39.0894157572691,-84.399199269689,0,0,0,0,3,0,0,3,0,11,0,0,0,17
140019,39.091665757939,-84.3991992696824,0,2,1,0,6,2,0,2,0,37,0,0,0,50
140024,39.1029157612844,-84.3991992696488,0,0,0,0,0,0,0,1,0,0,0,0,0,1
140025,39.1051657619527,-84.3991992696421,0,1,0,0,2,0,0,11,0,2,0,0,0,16
140045,39.1501657752665,-84.3991992695079,0,1,0,0,15,4,0,17,0,142,4,0,0,183
140046,39.1524157759296,-84.3991992695012,1,16,0,0,34,0,1,13,0,166,4,0,0,235
140047,39.1546657765924,-84.3991992694945,0,8,0,0,31,3,2,24,1,182,1,0,0,252
140048,39.1569157772549,-84.3991992694878,5,8,0,0,42,12,5,17,0,170,9,0,1,269
140049,39.1591657779172,-84.3991992694811,0,0,0,0,5,0,0,4,0,17,1,0,0,27
140050,39.1614157785792,-84.3991992694744,0,10,0,0,33,1,2,3,1,70,3,0,0,123
140051,39.163665779241,-84.3991992694677,0,0,0,0,16,2,2,10,0,102,5,0,0,137
140052,39.1659157799026,-84.399199269461,0,3,0,0,4,0,1,4,0,34,1,0,0,47
